,index,AIC_bkg,AIC_single,AIC_double,BIC_bkg,BIC_single,BIC_double,LRT_single,LRT_double,theta_MLE_s,theta_MLE_d,BF_single,BF_double
0,0,6077.9345666824465,6066.314226788954,6052.780119777689,6083.731447,6089.501748160088,6093.358282177173,0.092692865,0.37769550774807953,0.20313830033976735,0.511130627,-12.52472571,-14.45893086
1,1,-82.69367665,-99.2708995,-116.1476887,-76.47246656,-74.38605913,-72.59921801,1.9668093311539507,1.042560179453845,0.2044997157196935,0.8050333549195177,-17.00551437,-19.05961497
2,2,-2084.267969,-2084.061528,-2111.944484,-2078.809783,-2062.228784,-2073.737181,0.491888604,0.3064998818693078,0.1466428141923132,0.36413236192376014,-18.78758628,-20.20107523
3,3,1890.331097492767,1878.4814894531382,1869.6713950800265,1896.3152194514698,1902.417977,1911.560248790947,3.551220764495495,1.5440189605935644,0.2042573478629373,0.622398294,-17.84896716,-18.03955716
4,4,-583.4830285,-590.1535881,-606.8439139,-579.1804095,-572.9431122,-576.7255811,2.833577592542806,0.6896346760175622,0.098275888,0.11902523642590569,-19.76837542,-14.88073262
5,5,1358.8352076459712,1347.300233678438,1335.9396673455274,1363.687450215023,1366.7092039546455,1369.9053653288904,0.5614285948952475,0.34878682432779445,0.154733834,0.20394340490362667,-14.08470291,-16.87837772
6,6,10175.753956913606,10161.54740899292,10147.824581600018,10181.786317061531,10185.676849584617,10190.051102635489,0.546280806,0.22044207581899522,0.2039929189535289,0.6415590379745536,-13.91108146,-11.08290678
7,7,413.2342410052768,394.5148157539949,378.28873310388167,418.4954660972487,415.5597161218826,415.1173087476851,2.855829482,0.3897716033401739,0.20306553293238458,0.33757892207201173,-46.23285412,-69.45484944
8,8,-350.0783447,-369.3588781,-365.4211058,-345.0290899,-349.1618587,-330.0763219,1.0776092097379462,0.47196457077284537,0.15981654632638315,0.24594413869903625,-17.65422974,-14.27702539
9,9,-1794.631828,-1823.310798,-1832.710402,-1789.019985,-1800.863428,-1793.427505,1.5207920051823005,0.42726386734957345,0.20475018514086973,0.4781994041424032,-20.26477208,-19.69720679
10,10,7343.591046,2158.875623064258,467.38545313694476,7349.105845810559,2180.934822106213,505.98905146036543,0,1.6925383454757945,0.20622714835787598,0.43046758565473076,3321.8322931431744,111.65392088559815
11,11,9939.893249300383,1952.778781406395,-2654.770161,9945.729223882105,1976.1226797332813,-2613.918339,1.7571886813178906e-149,0.45872016900185336,0.2033763598886277,0.5227630367565598,6135.9110233686915,-15.73464924
12,12,2518.607585768215,436.09384641089525,-495.6211427,2523.2169350113822,454.5312433835648,-463.355698,0,1.0673543157665004,0.10143396066304666,0.15879746591200777,1483.7878416343437,-15.45328888
13,13,7517.440500129533,4652.984736212915,4602.929736775981,7523.3137171843955,4676.477604432366,4644.042256,5.224040648165578e-161,0.47458810168078597,0.20836624632982578,0.548456689,1462.7993582349536,-15.12713883
14,14,10566.091081328048,4382.599960704143,2734.1984111560973,10571.873471663635,4405.729522046493,2774.6751435052097,1.5398503573275718e-26,0.8862728459127204,0.20414560389182432,0.5024836582353464,3912.6015876908195,-10.57493522
15,15,7145.168277486895,2099.0913843470016,-271.4693217,7150.550401852633,2120.6198818099515,-233.7944511,0,0.6617594952139496,0.12477130294520737,0.33400597073582555,3761.1182506684513,-11.84543748
16,16,5305.427404629579,3769.505558,3706.7179727674784,5310.413046447218,3789.448125740367,3741.617465490953,2.410115023909798e-87,0.5361568855190044,0.19061824315689513,0.2506112949633715,791.1358309511011,1.971478415
17,17,2780.0753628614743,200.03296322212236,-263.8788067,2785.063776043474,219.98661595012072,-228.9599144,2.186292408241079e-245,0.41725253448439825,0.16479373231339778,0.2336970500466302,1757.4787423679907,-16.86429948
18,18,8698.8219,-61.41155952,-3846.761758,8704.871965465056,-37.21129783,-3804.4113,0,0.059121181,0.20367035837302278,0.6530940881516785,6005.249602556808,323.3947357669988
19,19,11911.383139437441,11011.627228467141,10986.175240393848,11917.087500605352,11034.444673138783,11026.10576856922,7.232950981,1.321970105446397,0.19746632197362626,0.4675363409336903,440.24527229904197,-8.864830583
20,20,3584.227132736108,549.5541185133782,-157.2025503,3589.440901044227,570.4091917458527,-120.7061721,1.566277054880787e-223,0.060870703,0.18651558164297344,0.31458390247379875,1886.5147322684004,-18.82592281
21,21,13456.224643160964,3915.863700477807,158.44748921972018,13462.221969983962,3939.853007769799,200.42877698070686,0,0.5515563833963555,0.20137853538302858,0.6383470823746459,8474.99786,-13.79122919
22,22,16009.688913611988,5863.338303096614,2966.216158324421,16015.903378772748,5888.196163739651,3009.7174144497353,0,1.2592904185154552,0.19894026479613008,0.7840099780682651,6516.657783,-19.03894756
23,23,5122.662389538879,1084.9170433473182,-1367.870361,5127.730561539267,1105.1897313488703,-1332.393157,0,0.6471514935531698,0.16144630913316124,0.2446579528901067,3160.517383544136,-10.5628048
24,24,1855.5583185379057,1110.284244944905,1042.273498684658,1859.537204302807,1126.1997880045094,1070.1256990389659,1.0549155526493779e-169,0.30944957471498724,0.077527554,0.10190794087192165,381.0063182531453,-4.172349514
25,25,2821.8268843837227,292.1600406708921,-421.9178705,2826.618105846449,311.32492652179684,-388.3793202,2.222391718212403e-306,0.37832566630995046,0.1400275952940111,0.1874301498857096,1601.956417739662,-14.76740078
26,26,11724.899230747726,950.0649818946816,-3947.26402,11731.059748995203,974.7070548845917,-3904.140393,0,0.5139289818967228,0.2004343829559686,0.7269051990230402,7738.136219481277,-18.01820803
27,27,7577.119471236275,2455.803977699706,662.8590461863735,7582.636992086878,2477.874061102118,701.4816921405946,0,0.19319046296716325,0.2013807220981856,0.42803914842562124,3397.8578953693755,-11.16651377
28,28,7877.5416528725655,2288.5545892638925,297.3637555340349,7883.131494384748,2310.913955312623,336.4926461193135,0,3.1462609892355924,0.1804235783097423,0.41448675356971554,3821.9456452482627,-19.86802002
